"package_name","title","num_resources","metadata_modified","license"
"city-vehicle-availability","City Vehicle Availability",4,"2026-04-18T06:24:01.680046",NA
"budget-capital-budget-plan-by-ward-10-yr-approved","Budget - Capital Budget & Plan By Ward (10 yr Approved)",18,"2026-04-16T15:49:48.507514","notspecified"
"on-street-permit-parking-area-maps","On-Street Permit Parking Area Maps",13,"2026-04-16T04:10:44.919576","notspecified"
"bicycle-parking-high-capacity-outdoor","Bicycle Parking - High Capacity (Outdoor)",13,"2026-04-16T03:05:03.534045","notspecified"
"community-grants-allocations","Community Grants Allocations",22,"2026-04-15T21:28:58.474453",NA
"toronto-beaches-water-quality","Toronto Beaches Water Quality",9,"2026-04-15T21:06:39.881974","notspecified"
"library-branch-programs-and-events-feed","Library Branch Programs and Events Feed",4,"2026-04-15T20:04:44.596177","notspecified"
"3d-massing","3D Massing",19,"2026-04-13T21:20:18.993574","notspecified"
"water-pressure-districts","Water Pressure Districts",8,"2026-04-09T15:22:25.669797",NA
"311-contact-centre-performance-metrics","311 Contact Centre Performance Metrics",1,"2026-04-08T14:18:36.624662","notspecified"
"toronto-raccoon-activity-index","Toronto Raccoon Activity Index",1,"2026-04-07T14:11:44.342863","notspecified"
"topographic-mapping-building-outlines","Topographic Mapping – Building Outlines",8,"2026-04-05T00:37:29.007680","notspecified"
"long-term-care-locations-city-operated","Long-Term Care Locations, City Operated",8,"2026-04-02T20:55:16.673514","notspecified"
"paramedic-services-incident-data","Paramedic Services Incident Data",4,"2026-04-01T17:38:17.747515","notspecified"
"land-ambulance-response-time-standard","Land Ambulance Response Time Standard",2,"2026-04-01T17:33:59.732256","notspecified"
"pre-hospital-emergency-care-performance-metrics","Pre-Hospital Emergency Care Performance Metrics",2,"2026-04-01T17:31:10.879199",NA
"specialized-patient-transports-by-paramedics","Specialized Patient Transports by Paramedics",2,"2026-04-01T17:26:50.193831","notspecified"
"by-election-results-unofficial","By-Elections – Unofficial Results",2,"2026-04-01T16:21:05.366364","notspecified"
"imagination-manufacturing-innovation-and-technology-imit-program-recipients","Imagination, Manufacturing, Innovation and Technology (IMIT) Program Recipients",4,"2026-04-01T04:14:17.417573","open-government-licence-toronto"
"deaths-of-people-experiencing-homelessness","Deaths of People Experiencing Homelessness",16,"2026-03-23T17:35:13.083018","notspecified"
"deaths-of-people-experiencing-homelessness-archival","Deaths of People Experiencing Homelessness (Archival)",12,"2026-03-23T16:26:54.048719","notspecified"
"upcoming-and-recently-completed-affordable-housing-units","Affordable Housing Pipeline",8,"2026-03-23T04:48:32.536870","notspecified"
"bicycle-cordon-count-2010-2013-2014","Bicycle Cordon Count: 2010, 2013, 2014",10,"2026-03-19T13:48:41.539863","notspecified"
"bicycle-and-micromobility-cordon-count","Bicycle and Micromobility Cordon Count",10,"2026-03-19T13:48:19.760512","notspecified"
"street-furniture-public-washroom","Street Furniture - Automated Public Washroom",13,"2026-03-16T22:18:50.790178","notspecified"
"site-and-area-specific-policies","Site and area Specific policies",13,"2026-03-16T20:30:39.871456",NA
"environmentally-significant-areas","Environmentally Significant Areas",13,"2026-03-16T19:16:38.998600",NA
"cycling-network","Cycling Network",8,"2026-03-16T19:15:26.721099",NA
